Timestamp_ms,MotorLeft_Vel,MotorRight_Vel,AccelX,AccelY,AccelZ
1401858,0.20,0.06,0.15,0.08,9.80
1401868,0.25,0.09,0.11,0.15,9.82
1401878,0.21,0.11,0.12,0.07,9.85
1401888,0.32,0.19,0.11,0.10,9.78
1401898,0.30,0.17,0.09,0.09,9.86
1401908,0.31,0.23,0.01,0.08,9.83
1401918,0.36,0.28,-0.01,0.22,9.80
1401928,0.33,0.30,0.01,0.31,9.82
1401938,0.39,0.31,0.02,0.34,9.78
1401948,0.36,0.36,-0.03,0.29,9.72
1401958,0.39,0.45,0.06,0.16,9.68
1401968,0.43,0.51,0.02,0.05,9.71
1401978,0.44,0.67,0.04,0.04,9.70
1401988,0.58,0.75,0.09,0.01,9.70
1401998,0.60,0.89,0.06,0.09,9.62
1402008,0.72,1.00,0.14,0.18,9.61
1402018,0.81,1.15,0.14,0.28,9.65
1402028,0.91,1.29,0.08,0.36,9.72
1402038,0.98,1.45,0.13,0.32,9.91
1402048,1.07,1.53,0.03,-0.15,9.65
1402058,1.13,1.58,0.08,-0.25,9.83
1402068,1.16,1.67,0.08,-0.22,9.97
1402078,1.24,1.61,0.11,-0.28,9.65
1402088,1.38,1.65,0.16,-0.27,9.85
1402098,1.44,1.65,0.01,-0.03,9.86
1402108,1.44,1.69,0.11,0.29,9.92
1402118,1.46,1.68,0.10,0.45,10.06
1402128,1.60,1.66,0.08,0.26,9.55
1402138,1.64,1.67,0.08,0.11,9.76
1402148,1.66,1.61,0.07,-0.14,9.79
1402158,1.76,1.62,0.13,-0.25,9.81
1402168,1.79,1.58,0.18,-0.36,9.91
1402178,1.86,1.62,0.03,0.03,9.97
1402188,1.81,1.67,0.16,0.22,9.83
1402198,1.71,1.62,0.06,0.68,9.95
1402208,1.64,1.65,0.17,0.65,9.78
1402218,1.52,1.66,0.18,0.46,10.01
1402228,1.51,1.60,0.14,0.22,9.84
1402238,1.48,1.58,0.24,-0.11,9.80
1402248,1.47,1.60,0.22,-0.33,9.86
1402258,1.44,1.51,0.21,-0.55,9.91
1402268,1.44,1.44,0.15,0.00,9.97
1402278,1.48,1.48,0.22,0.26,9.78
1402288,1.47,1.46,0.25,0.49,9.76
1402298,1.44,1.43,0.22,0.36,9.76
1402308,1.46,1.39,0.15,0.04,9.69
1402318,1.55,1.45,0.20,-0.26,9.76
1402328,1.57,1.37,0.23,-0.43,9.73
1402338,1.61,1.37,0.19,-0.42,9.65
1402348,1.68,1.35,0.34,-0.25,9.72
1402358,1.75,1.40,0.23,-0.16,9.93
1402368,1.68,1.48,0.21,0.52,9.87
1402378,1.69,1.48,0.25,0.84,9.73
1402388,1.64,1.57,0.32,1.13,9.68
1402398,1.59,1.61,0.20,0.86,9.87
1402408,1.55,1.67,0.26,0.23,9.70
1402418,1.48,1.60,0.15,-0.37,10.09
1402428,1.49,1.56,0.14,-1.10,9.82
1402438,1.44,1.47,0.16,-0.98,9.94
1402448,1.39,1.40,0.24,-0.46,9.88
1402458,1.43,1.32,0.23,0.30,9.83
1402468,1.35,1.28,0.25,0.99,9.87
1402478,1.35,1.24,0.34,1.13,9.75
1402488,1.30,1.29,0.31,0.88,9.76
1402498,1.33,1.32,0.29,0.17,9.88
1402508,1.38,1.30,0.20,-0.46,9.77
1402518,1.31,1.20,0.24,-0.82,9.93
1402528,1.32,1.20,0.30,-0.76,9.82
1402538,1.40,1.15,0.24,-0.45,9.82
1402548,1.41,1.13,0.32,-0.02,9.94
1402558,1.33,1.12,0.26,0.41,9.82
1402568,1.28,1.11,0.18,0.84,10.01
1402578,1.26,1.10,0.21,1.09,9.77
1402588,1.20,1.10,0.32,0.93,9.77
1402598,1.10,1.14,0.42,0.66,9.73
1402608,1.03,1.23,0.33,0.17,9.75
1402618,0.97,1.30,0.33,-0.16,9.92
1402628,0.90,1.29,0.16,-0.39,9.81
1402638,0.83,1.27,0.17,-0.41,10.02
1402648,0.78,1.17,0.20,-0.37,9.97
1402658,0.73,1.09,0.31,-0.12,9.81
1402668,0.63,1.02,0.31,0.09,9.76
1402678,0.56,0.93,0.38,0.30,9.75
1402688,0.59,0.81,0.40,0.38,9.80
1402698,0.54,0.74,0.35,0.29,9.83
1402708,0.50,0.69,0.36,0.15,9.83
1402718,0.55,0.60,0.29,0.00,9.91
1402728,0.52,0.55,0.40,-0.09,9.83
1402738,0.50,0.52,0.30,-0.07,9.86
1402748,0.49,0.44,0.32,-0.03,9.89
1402758,0.42,0.38,0.33,0.14,9.78
1402768,0.37,0.34,0.39,0.29,9.81
1402778,0.34,0.32,0.29,0.29,9.83
1402788,0.27,0.31,0.39,0.27,9.78
1402798,0.21,0.29,0.38,0.18,9.78
1402808,0.19,0.31,0.34,0.02,9.82
1402818,0.18,0.24,0.37,0.06,9.77
1402828,0.11,0.25,0.33,0.08,9.82
1402838,0.07,0.27,0.36,0.06,9.84
1402848,0.04,0.24,0.36,0.15,9.84
1402858,0.03,0.21,0.37,0.15,9.81
1402868,0.02,0.20,0.34,0.16,9.81
1402878,0.01,0.19,0.40,0.12,9.81
1402888,0.01,0.11,0.35,0.02,9.76
1402898,0.00,0.12,0.40,-0.01,9.84
1402908,0.00,0.07,0.33,-0.07,9.82
1402918,0.00,0.03,0.42,-0.03,9.83
1402928,-0.06,0.02,0.36,0.03,9.81
1402938,-0.04,0.01,0.42,0.11,9.77
1402948,-0.02,-0.05,0.42,0.15,9.76
1402958,-0.01,-0.03,0.40,0.21,9.77
1402968,-0.07,-0.06,0.42,0.17,9.79
1402978,-0.05,-0.10,0.42,0.09,9.79
1402988,-0.03,-0.06,0.43,0.04,9.80
1402998,-0.02,-0.11,0.44,0.01,9.80
1403008,-0.08,-0.07,0.42,0.01,9.82
1403018,-0.05,-0.10,0.43,0.05,9.82
1403028,-0.09,-0.12,0.47,0.11,9.86
1403038,-0.12,-0.13,0.39,0.12,9.88
1403048,-0.13,-0.19,0.49,0.14,9.85
1403058,-0.21,-0.30,0.42,0.14,9.89
1403068,-0.25,-0.36,0.42,0.10,9.93
